id,title,description,availability,condition,price,sale_price,link,image_link,brand
13751293986,포트메리온 보타닉 가든 프라이팬 웍 28CM,포트메리온 보타닉 가든 프라이팬 웍 28CM - 포트메리온 일반프라이팬 제품입니다.,in stock,new,90000 KRW,63000 KRW,https://mkt.shopping.naver.com/link/6aa0b0c642ac2e03d314d16c,https://shop1.phinf.naver.net/20260908_94/1788841858370sHhAL_JPEG/65244300503510074_1578544290.jpg,포트메리온
13751287171,포트메리온 보타닉 가든 보타닉 가든 프라이팬 20CM,포트메리온 보타닉 가든 보타닉 가든 프라이팬 20CM - 포트메리온 일반프라이팬 제품입니다.,in stock,new,64800 KRW,45360 KRW,https://mkt.shopping.naver.com/link/6aa0b0c68045e373d81cba40,https://shop1.phinf.naver.net/20260908_105/1788841518157ctthX_JPEG/34983084949455623_201238843.jpg,포트메리온
13750097734,포트메리온 보타닉 가든 프라이팬 소테팬 24CM (뚜껑포함),포트메리온 보타닉 가든 프라이팬 소테팬 24CM (뚜껑포함) - 포트메리온 일반프라이팬 제품입니다.,in stock,new,116100 KRW,81270 KRW,https://mkt.shopping.naver.com/link/6aa0b0c66c48fc7df4a0f14c,https://shop1.phinf.naver.net/20260907_219/1788768175826JQDtA_JPEG/4084728974353071_675151939.jpg,포트메리온
13749864071,포트메리온 보타닉가든 서빙 쟁반(대) 52cm 1p(BG),포트메리온 보타닉가든 서빙 쟁반(대) 52cm 1p(BG) - 포트메리온 쟁반 제품입니다.,in stock,new,44100 KRW,30870 KRW,https://mkt.shopping.naver.com/link/6aa0b0c6cc78491a7acb5caf,https://shop1.phinf.naver.net/20260907_165/1788755903193UfYws_JPEG/33341879925088460_739931845.jpg,포트메리온
13715001070,포트메리온 보타닉 가든 언더락잔 0.3L 4p(B세트),포트메리온 보타닉 가든 언더락잔 0.3L 4p(B세트) - 포트메리온 유리컵 제품입니다.,in stock,new,103600 KRW,41440 KRW,https://mkt.shopping.naver.com/link/6a9ca9517a192905d5e974eb,https://shop1.phinf.naver.net/20260810_105/1786328392305Q4KHb_JPEG/463804096610281_284553505.jpg,포트메리온
13697842329,포트메리온 샌드위치 쟁반HM 37cm 2p(BG),포트메리온 샌드위치 쟁반HM 37cm 2p(BG) - 포트메리온 쟁반 제품입니다.,in stock,new,34000 KRW,20400 KRW,https://mkt.shopping.naver.com/link/6a9ca950cc78491a7acb56bd,https://shop1.phinf.naver.net/20260804_281/1785824686698KVHvQ_JPEG/6016951823607275_693725248.jpg,포트메리온
13679925440,"포트메리온 보타닉 가든 키친툴 (뒤집개, 볶음스푼, 국자) 3P세트","포트메리온 보타닉 가든 키친툴 (뒤집개, 볶음스푼, 국자) 3P세트 - 포트메리온 조리도구세트 제품입니다.",in stock,new,128600 KRW,90020 KRW,https://mkt.shopping.naver.com/link/6a6f1f9d26a1f61dceb904b3,https://shop-phinf.pstatic.net/20260724_51/1784861416116CurAR_JPEG/106178753109536860_1881271796.jpg,포트메리온
13675215207,포트메리온 실리콘 뚜껑 4P 세트,포트메리온 실리콘 뚜껑 4P 세트 - 포트메리온 기타보관용기 제품입니다.,in stock,new,14400 KRW,12240 KRW,https://mkt.shopping.naver.com/link/6a6f1f9d26a1f61dceb904af,https://shop1.phinf.naver.net/20260721_183/1784622412437FS4iU_JPEG/4665383332157507_1402891657.jpg,포트메리온
13649118725,포트메리온 보타닉 가든 롱티스푼 22CM 1P #2,포트메리온 보타닉 가든 롱티스푼 22CM 1P #2 - 포트메리온 티스푼 제품입니다.,in stock,new,27000 KRW,20250 KRW,https://mkt.shopping.naver.com/link/6a6f1f9db030596f47810586,https://shop1.phinf.naver.net/20260702_146/1782980199461DiAFQ_JPEG/117113034601838441_1582308059.jpg,포트메리온
13647031643,[핫딜]포트메리온 뉴베리에이션 커피잔(T형) 0.2L 2인조,[핫딜]포트메리온 뉴베리에이션 커피잔(T형) 0.2L 2인조 - 포트메리온 찻잔 제품입니다.,in stock,new,106400 KRW,68090 KRW,https://mkt.shopping.naver.com/link/6a6f1f9d26a1f61dceb904b0,https://shop1.phinf.naver.net/20260630_16/1782799942068SlKyz_JPEG/21630184250657213_341580914.jpg,포트메리온
